origin,destination,policy,mean_handovers,mean_interruption_ms,mean_latency_violations,mean_throughput_mbps,mean_sinr_db,flight_count
Uijeongbu,Icheon,reactive,55.833333333333336,5721.568333333333,862.3888888888889,13.615555555555556,7.966111111111112,18
Uijeongbu,IncheonHub,proactive,19.61111111111111,681.9166666666666,770.6388888888889,12.49,8.969444444444443,36
Uijeongbu,IncheonHub,reactive,57.05555555555556,6305.6175,797.7222222222222,13.069166666666668,9.862222222222222,36
Yeouido,GimpoHub,proactive,6.833333333333333,233.73611111111111,321.47222222222223,6.443194444444445,-2.1766666666666667,72
Yeouido,GimpoHub,reactive,25.90277777777778,2787.328472222222,340.18055555555554,7.210972222222221,-1.0194444444444446,72
Yeouido,Goyang,proactive,7.666666666666667,256.8333333333333,270.5,8.786111111111111,1.203888888888889,18
Yeouido,Goyang,reactive,19.166666666666668,2007.6833333333334,281.27777777777777,9.61888888888889,2.4433333333333334,18
Yeouido,IncheonHub,proactive,11.574074074074074,392.31481481481484,444.05555555555554,11.671388888888888,6.855833333333333,108
Yeouido,IncheonHub,reactive,39.52777777777778,4365.685277777778,470.2962962962963,12.159814814814816,7.531203703703704,108
Yeouido,Jamsil,proactive,4.351851851851852,152.3148148148148,237.35185185185185,9.112407407407407,1.6075925925925927,54
Yeouido,Jamsil,reactive,16.166666666666668,1671.641851851852,251.5,9.558518518518518,2.1635185185185186,54
Yeouido,Suwon,proactive,12.0,412.3333333333333,541.6666666666666,12.770555555555555,7.962777777777778,18
Yeouido,Suwon,reactive,36.611111111111114,3753.4105555555557,563.3888888888889,13.249444444444444,8.597222222222221,18
Yongin,GimpoCity,proactive,30.944444444444443,1046.0,1091.2222222222222,9.35888888888889,1.8199999999999998,18
Yongin,GimpoCity,reactive,94.94444444444444,10565.566111111111,1153.9444444444443,9.927222222222222,2.747777777777778,18
Yongin,GimpoHub,proactive,30.11111111111111,1025.138888888889,962.8888888888889,8.657777777777778,1.1736111111111112,36
Yongin,GimpoHub,reactive,89.52777777777777,9969.360555555555,1008.1666666666666,9.554444444444444,2.406111111111111,36
