run_id,seed,phase,speed_profile,altitude_profile,bs_density_profile,bs_spacing_km,generated_flights,run_duration_s,policy,completed_flights,total_flights,total_handovers,handover_attempts,radio_handover_successes,radio_handover_failures,service_continuity_successes,service_continuity_failures,ping_pong_events,control_latency_violations,precache_hits,mean_throughput_mbps,mean_sinr_db,total_interruption_ms
143,11,introduction,high,high,dense,3.0,31,1800.0,proactive,31,31,466,466,464,2,16,450,135,13958,16,6.98,-1.34,15942.0
144,11,growth,low,low,sparse,5.5,31,1800.0,reactive,31,31,1797,1797,1797,0,0,1797,1238,22099,0,12.06,8.27,200288.21
145,11,growth,low,low,sparse,5.5,31,1800.0,proactive,31,31,347,347,347,0,7,340,79,20658,7,11.79,7.91,11984.0
146,11,growth,low,low,dense,3.0,31,1800.0,reactive,31,31,1801,1801,1801,0,0,1801,1214,22840,0,11.68,7.17,192651.88
147,11,growth,low,low,dense,3.0,31,1800.0,proactive,31,31,570,570,565,5,18,552,181,21690,18,11.14,6.4,19536.0
148,11,growth,low,mid,sparse,5.5,31,1800.0,reactive,31,31,1864,1864,1864,0,0,1864,1298,22474,0,11.83,7.1,207384.78
149,11,growth,low,mid,sparse,5.5,31,1800.0,proactive,31,31,370,370,370,0,7,363,85,20978,7,11.54,6.71,12789.0
150,11,growth,low,mid,dense,3.0,31,1800.0,reactive,31,31,1843,1843,1843,0,0,1843,1212,24042,0,10.87,5.1,199038.6
151,11,growth,low,mid,dense,3.0,31,1800.0,proactive,31,31,604,604,597,7,16,588,199,22864,16,10.34,4.3,20772.0
152,11,growth,low,high,sparse,5.5,31,1800.0,reactive,31,31,1920,1920,1920,0,0,1920,1325,22909,0,11.5,6.25,213363.94
153,11,growth,low,high,sparse,5.5,31,1800.0,proactive,31,31,405,405,405,0,8,397,106,21398,8,11.2,5.84,13991.0
154,11,growth,low,high,dense,3.0,31,1800.0,reactive,31,31,2054,2054,2054,0,0,2054,1345,25765,0,9.87,3.09,224173.62
155,11,growth,low,high,dense,3.0,31,1800.0,proactive,31,31,612,612,605,7,13,599,185,24371,13,9.34,2.29,21121.0
156,11,growth,medium,low,sparse,5.5,31,1800.0,reactive,31,31,1460,1460,1460,0,0,1460,967,17287,0,12.09,8.29,161391.24
157,11,growth,medium,low,sparse,5.5,31,1800.0,proactive,31,31,359,359,359,0,15,344,95,16228,15,11.7,7.75,12220.0
158,11,growth,medium,low,dense,3.0,31,1800.0,reactive,31,31,1472,1472,1472,0,0,1472,906,17819,0,11.74,7.21,156144.46
159,11,growth,medium,low,dense,3.0,31,1800.0,proactive,31,31,569,569,562,7,40,529,183,17035,43,10.99,6.15,18926.0
160,11,growth,medium,mid,sparse,5.5,31,1800.0,reactive,31,31,1465,1465,1465,0,0,1465,990,17537,0,11.86,7.16,162564.3
161,11,growth,medium,mid,sparse,5.5,31,1800.0,proactive,31,31,390,390,390,0,14,376,112,16474,14,11.46,6.57,13328.0
162,11,growth,medium,mid,dense,3.0,31,1800.0,reactive,31,31,1544,1544,1544,0,0,1544,950,18774,0,10.91,5.12,165930.52
163,11,growth,medium,mid,dense,3.0,31,1800.0,proactive,31,31,590,590,583,7,34,556,187,17951,37,10.2,4.06,19799.0
164,11,growth,medium,high,sparse,5.5,31,1800.0,reactive,31,31,1467,1467,1467,0,0,1467,987,17830,0,11.53,6.29,162786.68
165,11,growth,medium,high,sparse,5.5,31,1800.0,proactive,31,31,391,391,391,0,11,380,107,16800,11,11.12,5.7,13432.0
166,11,growth,medium,high,dense,3.0,31,1800.0,reactive,31,31,1679,1679,1679,0,0,1679,1042,20082,0,9.92,3.12,182652.1
167,11,growth,medium,high,dense,3.0,31,1800.0,proactive,31,31,587,587,580,7,22,565,168,19121,25,9.21,2.04,19970.0
168,11,growth,high,low,sparse,5.5,31,1800.0,reactive,31,31,1252,1252,1252,0,0,1252,818,14473,0,12.07,8.27,138223.11
169,11,growth,high,low,sparse,5.5,31,1800.0,proactive,31,31,347,347,346,1,20,327,99,13643,20,11.61,7.62,11685.0
170,11,growth,high,low,dense,3.0,31,1800.0,reactive,31,31,1254,1254,1254,0,0,1254,744,14916,0,11.72,7.2,133155.81
171,11,growth,high,low,dense,3.0,31,1800.0,proactive,31,31,549,549,541,8,53,496,165,14314,58,10.83,5.92,17881.0
172,11,growth,high,mid,sparse,5.5,31,1800.0,reactive,31,31,1297,1297,1297,0,0,1297,845,14728,0,11.85,7.12,143008.52
173,11,growth,high,mid,sparse,5.5,31,1800.0,proactive,31,31,382,382,381,1,18,364,109,13860,18,11.36,6.41,12956.0
174,11,growth,high,mid,dense,3.0,31,1800.0,reactive,31,31,1359,1359,1359,0,0,1359,788,15763,0,10.91,5.11,145430.43
175,11,growth,high,mid,dense,3.0,31,1800.0,proactive,31,31,577,577,570,7,39,538,181,15119,43,10.04,3.81,19206.0
176,11,growth,high,high,sparse,5.5,31,1800.0,reactive,31,31,1315,1315,1315,0,0,1315,856,15015,0,11.51,6.27,145458.75
177,11,growth,high,high,sparse,5.5,31,1800.0,proactive,31,31,405,405,405,0,19,386,123,14146,19,11.02,5.54,13738.0
178,11,growth,high,high,dense,3.0,31,1800.0,reactive,31,31,1486,1486,1486,0,0,1486,859,16879,0,9.91,3.1,160205.53
179,11,growth,high,high,dense,3.0,31,1800.0,proactive,31,31,585,585,578,7,35,550,168,16098,39,9.06,1.79,19578.0
180,11,maturity,low,low,sparse,5.5,31,1800.0,reactive,31,31,2078,2078,2078,0,0,2078,1305,25494,0,12.18,8.55,240308.4
181,11,maturity,low,low,sparse,5.5,31,1800.0,proactive,31,31,543,543,521,22,7,536,112,24142,7,11.79,7.87,18844.0
182,11,maturity,low,low,dense,3.0,31,1800.0,reactive,31,31,2402,2402,2402,0,0,2402,1453,28381,0,10.74,5.19,272675.84
183,11,maturity,low,low,dense,3.0,31,1800.0,proactive,31,31,739,739,732,7,13,726,166,26908,13,10.16,4.31,25566.0
184,11,maturity,low,mid,sparse,5.5,31,1800.0,reactive,31,31,2144,2144,2144,0,0,2144,1333,26432,0,11.69,6.64,248915.09
185,11,maturity,low,mid,sparse,5.5,31,1800.0,proactive,31,31,551,551,530,21,7,544,113,24983,7,11.31,5.98,19124.0
186,11,maturity,low,mid,dense,3.0,31,1800.0,reactive,31,31,2664,2664,2664,0,0,2664,1670,30249,0,9.8,2.77,302961.3
187,11,maturity,low,mid,dense,3.0,31,1800.0,proactive,31,31,778,778,769,9,11,767,176,28519,11,9.23,1.89,26977.0
188,11,maturity,low,high,sparse,5.5,31,1800.0,reactive,31,31,2206,2206,2206,0,0,2206,1380,27495,0,11.12,5.39,256144.97
189,11,maturity,low,high,sparse,5.5,31,1800.0,proactive,31,31,567,567,546,21,8,559,121,25974,8,10.75,4.72,19661.0
190,11,maturity,low,high,dense,3.0,31,1800.0,reactive,31,31,2852,2852,2852,0,0,2852,1804,32086,0,8.83,1.16,326534.84
191,11,maturity,low,high,dense,3.0,31,1800.0,proactive,31,31,826,826,817,9,12,814,191,30275,12,8.25,0.23,28634.0
192,11,maturity,medium,low,sparse,5.5,31,1800.0,reactive,31,31,1723,1723,1723,0,0,1723,1011,20085,0,12.18,8.53,198524.72
193,11,maturity,medium,low,sparse,5.5,31,1800.0,proactive,31,31,541,541,519,22,14,527,119,19091,14,11.67,7.64,18613.0
