flight_id,algorithm,handover_count,total_latency_ms,avg_rssi,min_rssi,connection_drop_count
93,Baseline,60,3254.0681972763564,-62.367178993112496,-76.60016530001167,0
93,Proposed,72,553.7423941755491,-62.53222469075272,-77.26024747351644,0
94,Baseline,65,3593.2315168552614,-65.60944661087625,-82.06349013744108,0
94,Proposed,343,2561.476072893865,-66.18401696965851,-85.55647016748472,1
95,Baseline,88,4853.348554351838,-62.558653289851684,-74.76605742152844,0
95,Proposed,71,530.8851729605809,-63.27492457877258,-77.0276885531001,0
96,Baseline,119,6612.399877704846,-63.875758027541536,-74.05856914382736,0
96,Proposed,40,304.76986979794316,-62.38105720602225,-75.79694016161937,0
97,Baseline,41,2272.4911433992042,-63.83632818037452,-77.74972834727298,0
97,Proposed,136,1031.4688405146896,-65.0199495214874,-80.84665726567721,0
98,Baseline,156,8672.86956672463,-69.83762318731131,-81.41017369007668,0
98,Proposed,781,5847.690906742248,-70.49771771003185,-83.95528603079693,0
99,Baseline,135,7577.482071212519,-67.99423529394238,-81.1840670920349,0
99,Proposed,825,6242.413710187173,-71.15378485882353,-82.10052936529932,0
100,Baseline,141,7762.712664413376,-61.35161178626491,-75.65827018093707,0
100,Proposed,181,1351.9569749684986,-63.41254594516563,-80.87670675978282,0
101,Baseline,45,2439.252108825412,-64.14754378397626,-76.42198050007936,0
101,Proposed,19,154.89117371126892,-63.64504368458221,-75.8544055112531,0
102,Baseline,132,7226.970057134492,-65.17034287331597,-78.16218713277745,0
102,Proposed,121,910.195776924309,-64.9847823380453,-77.40274841621573,0
103,Baseline,31,1752.0841319198087,-63.952426645987536,-76.64139147294604,0
103,Proposed,123,911.1305669847507,-65.18748438068677,-82.29755294034267,0
104,Baseline,26,1425.600508535196,-55.59416082206418,-73.41949750308127,0
104,Proposed,109,811.6873576299696,-58.089747928092166,-82.34431256271242,0
105,Baseline,99,5346.897416273184,-62.68861089795783,-79.12775790431385,0
105,Proposed,247,1836.4073895812126,-64.03985117859492,-83.12582089209945,0
106,Baseline,154,8529.123400986313,-65.12586896578982,-83.54484925685742,0
106,Proposed,368,2763.0645792274486,-65.987286585977,-80.21120439743308,0
107,Baseline,94,5262.882573159062,-60.82206696460806,-76.79515424592182,0
107,Proposed,149,1096.301698496421,-61.8561073792275,-81.22786000345863,0
108,Baseline,59,3242.9275235611394,-61.81387631596933,-79.26288842248051,0
108,Proposed,117,891.1614123570923,-61.44640166538709,-83.2559399522383,0
109,Baseline,28,1466.6090542981394,-60.53488472928358,-75.4886937668005,0
109,Proposed,26,193.41617757634287,-63.3533155543988,-79.94781250868257,0
110,Baseline,76,4203.31247036278,-68.64365928027767,-78.92888017213778,0
110,Proposed,394,2971.610723488041,-68.8378605434561,-81.51698938149823,0
111,Baseline,66,3589.7399749353317,-66.09577008530555,-79.11101549560446,0
111,Proposed,198,1487.6761104926056,-65.73885092222015,-85.05670864906455,1
112,Baseline,70,3750.634957785945,-65.52921190529383,-77.23546957815286,0
112,Proposed,141,1060.5643301386147,-64.91318079060972,-80.46583267760194,0
113,Baseline,1,51.369679123847924,-59.18504495324641,-77.25831517633267,0
113,Proposed,161,1195.446380678682,-62.5095346722143,-83.75374021980181,0
114,Baseline,221,12093.743770569205,-67.32782689631564,-78.34529990593435,0
114,Proposed,380,2835.8702161880174,-67.82086186874498,-83.8579414046156,0
115,Baseline,69,3829.3305923356065,-61.29670061296193,-75.26597278412363,0
115,Proposed,18,128.72494942899084,-61.29653543811566,-77.48613446590291,0
116,Baseline,35,1908.4667965212375,-62.085274040006084,-72.91141901049203,0
116,Proposed,39,293.96638983008035,-62.97970856902102,-81.26208427709237,0
117,Baseline,89,4876.679144890291,-65.90572365396179,-78.56076090946,0
117,Proposed,336,2505.716455608143,-66.8888407398164,-83.71144142040616,0
118,Baseline,94,5235.172468035165,-59.071143517376115,-72.03949431109349,0
118,Proposed,20,130.89638722278787,-60.171700131559,-74.78014011149756,0
119,Baseline,170,9278.306905309912,-67.09468520355477,-77.87210196554925,0
119,Proposed,322,2443.7203174452598,-67.72033417669957,-79.3235506064991,0
120,Baseline,26,1526.1043708849218,-65.94174206573457,-77.00245711544379,0
120,Proposed,299,2228.807036447022,-67.29409650409622,-83.24550267049185,0
121,Baseline,106,5804.875948393396,-68.63447076134655,-81.94100669354955,0
121,Proposed,558,4196.907835885955,-69.14658483539625,-83.81962625147524,0
122,Baseline,107,5733.664924156786,-64.28274029628575,-76.68005948452927,0
122,Proposed,74,564.1552056397592,-64.6235770474454,-75.89787923075738,0
123,Baseline,97,5308.755945074691,-63.281260696877965,-80.67115875293194,0
123,Proposed,258,1956.5285398762626,-63.82049196817854,-81.58946806706453,0
124,Baseline,110,6030.008430298423,-61.87288077680774,-76.26047663499074,0
124,Proposed,128,943.1021224648481,-62.98449311584463,-79.75558208880071,0
125,Baseline,31,1668.8714423376032,-61.407400800258735,-74.58611935380294,0
125,Proposed,11,81.0985093093571,-61.41549704595742,-74.76586142726185,0
126,Baseline,146,7917.028462363707,-61.37496740903826,-80.72781026410456,0
